Id,Company,Symbol
292,ITT Industries,ITT
293,Jabil Circuit Inc.,JBL
294,Jack Henry & Associates Inc. ,JKHY
295,Jack in the Box Inc.,JBX
296,Jefferson-Pilot,JP
297,Johnson & Johnson,JNJ
298,Johnson Controls,JCI
299,Juniper Networks Inc.,JNPR
300,Kaufman & Broad Home,KBH
301,Keithley Instruments Inc.,KEI
302,Kellogg Co.,K
303,Kerr-McGee,KMG
304,KeyCorp,KEY
305,Keynote Systems Inc.,KEYN
306,Kimberly-Clark,KMB
307,Kla-Tencor Corp.,KLAC
308,Knight-Ridder Inc,KRI
309,Kohl's Corp,KSS
310,Krispy Kreme Doughnuts Inc. ,KKD
311,Kroger Co.,KR
312,K-Swiss Inc.,KSWS
313,Kyocera Corp,KYO
314,Lam Research Corp ,LRCX
315,Leggett & Platt ,LEG
316,Lehman Br Holdings ,LEH
317,Lexmark Intl'A',LXK
318,Lilly (Eli),LLY
319,Lincoln Natl Corp,LNC
320,Linear Technology Corp ,LLTC
321,Liz Claiborne Inc.,LIZ
322,Lockheed Martin Corp ,LMT
323,Loews Corp,LTR
324,Longs Drug Stores,LDG
325,Louisiana Pacific,LPX
326,Lowe's Cos,LOW
327,Manor Care,HCR
328,Marriott Intl 'A',MAR
329,Marsh & McLennan,MMC
330,Martha Stewart Living ,MSO
331,Masco Corp,MAS
332,Matrixone Inc.,MONE
333,"Mattel, Inc",MAT
334,Maxim Integrated Products ,MXIM
335,May Dept Stores,MAY
336,Maytag Corporation,MYG
337,MBIA Inc,MBI
338,MBNA Corp,KRB
339,McDermott Intl,MDR
340,McDonalds Corp,MCD
341,McGraw-Hill Companies ,MHP
342,McKesson HBOC,MCK
343,Medarex Inc.,MEDX
344,Medimmune Inc. ,MEDI
345,"Medtronic, Inc",MDT
346,Mellon Financial,MEL
347,Merck & Co. Inc.,MRK
348,Mercury Interactive Corp ,MERQ
349,Meredith Corp ,MDP
350,"Merrill, Lynch & Co. Inc. ",MER
351,MetLife Inc.,MET
352,Metro-Goldwyn-Mayer Inc.,MGM
353,MGIC Investment ,MTG
354,MGM Grand Inc.,MGG
355,Micron Technology Inc. ,MU
356,Microsoft Corp,MSFT
357,Microstrategy,MSTR
358,Millenium Pharmaceuticals,MLNM
359,Millipore Corp,MIL
360,Minnesota Min'g/Mfg ,MMM
361,Molex Inc,MOLX
362,Morgan J.P. & Co. Inc.  ,JPM
363,Morgan Stan Dean Witter,MWD
364,"Motorola, Inc",MOT
365,Myriad Genetics Inc.,MYGN
366,Nasdaq-100 Trust,QQQ
367,Natl City Corp,NCC
368,Natl Semiconductor,NSM
369,Navistar Intl,NAV
370,NCR Corp,NCR
371,Network Appliance Corp. ,NTAP
372,New York Times Co.,NYT
373,Newell Rubbermaid,NWL
374,Newmont Mining,NEM
375,Newport Corp,NEWP
376,NEXTEL Communic'ns'A',NXTL
377,Nextel Partners Inc.,NXTP
378,NICOR Inc,GAS
379,"NIKE, Inc Cl'B'",NKE
380,Niku Corp,NIKU
381,Nokia Crop,NOK
382,"Nordstrom, Inc",JWN
383,Norfolk Southern,NSC
384,Northern Trust,NTRS
385,Northrop Grumman,NOC
386,Novell Inc.,NOVL
387,Novellus Systems,NVLS
388,Nucor Corp,NUE
389,Nvidia Corp,NVDA
390,Oakley Inc.,OO
391,Occidental Petrol'm,OXY
392,Office Depot Inc.,ODP
393,Omnicom Group,OMC
394,ONEOK Inc,OKE
395,Onvia.com Inc.,ONVI
396,Oracle Corporation,ORCL
397,OSI Systems Inc. ,OSIS
398,Outback Steakhouse Inc.,OSI
399,Owens-Illinois,OI
400,PACCAR Inc,PCAR
401,Pacific Sunwear of California Inc. ,PSUN
402,Pactiv Corp ,PTV
403,Pall Corp,PLL
404,Papa Johns Intl. Inc.,PZZA
405,Parametric Technology,PMTC
406,Parker-Hannifin,PH
407,Paychex Inc,PAYX
408,Payless Shoesource Inc.,PSS
409,PE-Celera Genomics,CRA
410,Penny J.C. Co. Inc.,JCP
411,Peoples Energy,PGL
412,PeopleSoft Inc.,PSFT
413,Pep Boys Manny Moe & Jack ,PBY
414,Pepsi Bottling Group,PBG
415,Pepsico Inc.,PEP
416,PerkinElmer Inc,PKI
417,"Pfizer, Inc",PFE
418,PG&E Corporation,PCG
419,Phelps Dodge Corp,PD
420,Philip Morris Cos,MO
421,Philips Electronics Holding Co. ,PHG
422,Pinnacle West Capital,PNW
423,Pitney Bowes,PBI
424,Pixar Inc.,PIXR
425,Placer Dome Inc,PDG
426,Plug Power Co.,PLUG
427,PMC Sierra Inc.,PMCS
428,PNC Financial Services Group  ,PNC
429,Polo Ralph Lauren Corporation,RL
430,Potlatch Corp,PCH
431,Powerwave Technologies Inc. ,PWAV
432,PPG Indus,PPG
433,PPL Corp,PPL
434,Praxair Inc,PX
435,Priceline.com Inc.,PCLN
436,Procter & Gamble Co.,PG
437,"Progressive Corp,Ohio",PGR
438,Protein Design Labs Inc.,PDLI
439,Providian Financial,PVN
440,Public Svc Enterpr,PEG
441,Pulte Corp,PHM
442,Qiagen,QGENF
443,Qlogic Corp,QLGC
444,QLT Phototherapeutics,QLTI
445,Qualcomm Inc.,QCOM
446,Quest Software Inc.,QSFT
447,Quicksilver Inc.,ZQK
448,RadioShack Corp,RSH
449,Rambus Inc.,RMBS
450,Raytheon Co'B' ,RTN
451,Red Hat Inc.,RHAT
452,Reebok Intl,RBK
453,Regeneron Pharmaceuticals ,REGN
454,Register.com Inc.,RCOM
455,Research in Motion Ltd. ,RIMM
456,Resmed Inc.,RMD
457,RF Micro Devices Inc.,RFMD
458,Rockwell Intl,ROK
459,Rohm & Haas,ROH
460,Rowan Cos,RDC
461,Royal Dutch Petrol ADR ,RD
462,Russell Corp,RML
463,Ryder System,R
464,SABRE Holdings'A',TSG
465,SAFECOCorp,SAFC
466,Safeway Inc.,SWY
467,Sage Laboratories Inc. ,SLAB
468,Sandisk Corp,SNDK
469,Sanmina Corp,SANM
470,Sapient Corp,SAPE
471,Sara Lee Corp,SLE
472,SBC Communications Inc. ,SBC
473,Schering-Plough,SGP
474,Schlumberger Ltd,SLB
475,Schwab(Charles)Corp,SCH
476,Scientific-Atlanta,SFA
477,Sealed Air,SEE
478,Sears-Roebuck,S
479,Sempra Energy,SRE
480,Shell Trans. & Trading Ltd. ,SC
481,Sherwin-Williams,SHW
482,Siebel Systems Inc.,SEBL
483,Sigma-Aldrich,SIAL
484,Siliconix Inc.,SILI
485,Skechers USA Inc.,SKX
486,SLM Holding,SLM
487,Snap-On Inc,SNA
488,Sony Corp,SNE
489,Southern Co,SO
490,SouthTrust Corp,SOTR
491,Southwest Airlines Co.,LUV
492,Sprint Corp(FON Group) ,FON
493,St. Jude Medical ,STJ
494,Stanley Works,SWK
495,Staples Inc.,SPLS
496,Starbucks Corporation ,SBUX
497,State Street Corp ,STT
498,Sunoco Inc ,SUN
499,Suntrust Banks Inc.,STI
500,Supervalu Inc,SVU
501,Symbol Technologies Inc. ,SBL
502,Synovus Financial,SNV
503,Sysco Corp,SYY
504,T.Rowe Price Assoc,TROW
505,Target Corp,TGT
506,Tektronix Inc,TEK
507,"Tellabs,Inc",TLAB
508,Temple-Inland,TIN
509,Tenet Healthcare,THC
510,Teradyne Inc,TER
511,Texas Instruments,TXN
512,"Textron, Inc",TXT
513,The Limited Inc.,LTD
514,Thermo Electron,TMO
515,Thomas & Betts,TNB
516,Tibco Software,TIBX
517,Tiffany & Co.,TIF
518,Timberland Co.,TBL
519,Timken Co,TKR
520,Titan Corp,TTN
521,TJX Companies,TJX
522,Tommy Hilfiger Corp,TOM
523,Torchmark Corp,TMK
524,Toyota Motor Corp,TM
525,Toys R Us Inc.,TOY
526,Transocean Sedco Forex ,RIG
527,Tribune Co.,TRB
528,Tricon Global Restaurants Inc. ,YUM
529,Tupperware Corp,TUP
530,TXU Corp,TXU
531,Tyco Labs Inc.,TYC
532,U.S. Bancorp,USB
533,Unilever N.V.,UN
534,Union Pacific ,UNP
535,Union Planters,UPC
536,Unisys Corp,UIS
537,United Parcel Services Inc.  ,UPS
538,United States Cellular Corp,USM
539,United Technologies Corp,UTX
540,UnitedHealth Group,UNH
541,Universal Corp.,UVV
542,Univision Communications ,UVN
543,Unocal Corp,UCL
544,UnumProvident Corp,UNM
545,UST Inc,UST
546,USX-Marathon Grp,MRO
547,USX-U.S. Steel Group ,X
548,Utstarcom Inc.,UTSI
549,VansInc.,VANS
550,Verisign Inc.,VRSN
551,Verizon Communications,VZ
